Wall time,Step,Value
1628841999.8064537,408,0.9816666841506958
1628842014.78413,409,0.9816666841506958
1628842032.6439807,410,0.9816666841506958
1628842082.474957,413,0.9800000190734863
1628842100.3561323,414,0.9800000190734863
1628842118.1154509,415,0.9800000190734863
1628842135.9999006,416,0.9800000190734863
1628842188.9030993,419,0.9800000190734863
1628842205.774155,420,0.9800000190734863
1628842241.2668688,422,0.9800000190734863
1628842258.8413367,423,0.9783333539962769
1628842311.4186883,426,0.9783333539962769
1628842329.0787845,427,0.9783333539962769
1628842346.5238833,428,0.9783333539962769
1628842381.9703245,430,0.9783333539962769
1628842399.6871433,431,0.9783333539962769
1628842417.438505,432,0.9766666889190674
1628842468.7368581,435,0.9766666889190674
1628842486.6701164,436,0.9766666889190674
1628842504.4107108,437,0.9766666889190674
1628842522.1747246,438,0.9766666889190674
1628842539.9742851,439,0.9766666889190674
1628842557.9608884,440,0.9766666889190674
1628842575.6349752,441,0.9766666889190674
1628842593.484675,442,0.9750000238418579
1628842628.6432333,444,0.9750000238418579
1628842646.3840883,445,0.9750000238418579
1628842663.964545,446,0.9750000238418579
1628842681.4279282,447,0.9750000238418579
1628842752.9258327,451,0.9750000238418579
1628842770.8139834,452,0.9733333587646484
1628842788.4280837,453,0.9733333587646484
1628842806.3836753,454,0.9733333587646484
1628842822.5143876,455,0.9733333587646484
1628842850.05539,457,0.9733333587646484
1628842885.5312247,459,0.9733333587646484
1628842916.8237524,461,0.9733333587646484
1628842934.5256932,462,0.971666693687439
1628842952.2153795,463,0.971666693687439
1628842987.829777,465,0.971666693687439
1628843005.5727177,466,0.971666693687439
1628843020.9839764,467,0.971666693687439
1628843051.46551,469,0.971666693687439
1628843086.7794435,471,0.971666693687439
1628843104.4735835,472,0.9700000286102295
1628843139.3096342,474,0.9700000286102295
1628843150.3231578,475,0.9700000286102295
1628843168.3719208,476,0.9700000286102295
1628843221.4553797,479,0.9700000286102295
1628843239.1976864,480,0.9700000286102295
1628843256.6624217,481,0.9683333039283752
1628843274.2688544,482,0.9683333039283752
1628843292.0185769,483,0.9683333039283752
1628843304.126599,484,0.9683333039283752
1628843321.935252,485,0.9683333039283752
1628843357.658783,487,0.9683333039283752
1628843375.4234092,488,0.9683333039283752
1628843393.0972419,489,0.9683333039283752
1628843410.9468837,490,0.9683333039283752
1628843428.7479506,491,0.9666666388511658
1628843446.7812366,492,0.9666666388511658
1628843500.251868,495,0.9666666388511658
1628843512.0142295,496,0.9666666388511658
1628843547.0941634,498,0.9666666388511658
1628843564.8145602,499,0.9666666388511658
1628843582.7035973,500,0.9666666388511658
1628843614.6771712,502,0.9649999737739563
1628843632.2567844,503,0.9649999737739563
1628843649.9602604,504,0.9649999737739563
1628843703.375872,507,0.9649999737739563
1628843720.8606162,508,0.9649999737739563
1628843738.5294137,509,0.9649999737739563
1628843756.6514583,510,0.9649999737739563
1628843774.467315,511,0.9633333086967468
1628843792.3436544,512,0.9633333086967468
1628843809.9884188,513,0.9633333086967468
1628843827.758246,514,0.9633333086967468
